config,values
annual_return,0.423039
cumulative_return,1.459632
annual_volatility,0.187005
sharpe_ratio,2.262178
max_drawdown,-0.109008
average_drawdown,-0.027257
calmar_ratio,3.880804
stability,0.858934
omega_ratio,1.421824
sortino_ratio,4.189551
skew,1.785354
kurtosis,12.356058
tail_ratio,1.264717
daily_var_1_percent,0.020317
daily_var_5_percent,0.012606
daily_top_5_percent,0.015943
daily_top_1_percent,0.031179
