,Value
Annual Arithmetic Return,-0.174835
CAGR,-0.174569
Cumulative Return,-0.088837
Annual Volatility,0.183826
Max Drawdown,-0.201126
Average Drawdown,-0.088972
Sharpe Ratio,-0.951088
Sortino Ratio,-1.093088
Calmar Ratio,-0.869281
Omega Ratio,0.850266
Return Skewness,-1.346843
Return Kurtosis,12.284456
VaR 5%,-0.011154
VaR 1%,-0.026077
Top 5%,0.012076
Top 1%,0.025847
Stability,0.621987
